Ticker,Description,Currency,Sector,Industry Group,Industry,Sub_Industry
RDSA LN Equity,Royal Dutch Shell PLC,GBp,Energy,"Oil, Gas & Coal",Integrated Oils,#N/A N/A
601288 CH Equity,Agricultural Bank of China Ltd,CNY,Financials,Banking,Banks,#N/A N/A
BABA US Equity,Alibaba Group Holding Ltd,USD,Consumer Discretionary,Retail - Discretionary,E-Commerce Discretionary,#N/A N/A
700 HK Equity,Tencent Holdings Ltd,HKD,Technology,Software,Application Software,Video Game Software
C US Equity,Citigroup Inc,USD,Financials,Banking,Diversified Banks,#N/A N/A
HSBA LN Equity,HSBC Holdings PLC,GBp,Financials,Banking,Diversified Banks,#N/A N/A
MRK US Equity,Merck & Co Inc,USD,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
HD US Equity,Home Depot Inc/The,USD,Consumer Discretionary,Retail - Discretionary,Home Products Stores,Home Improvement Stores
NOVOB DC Equity,Novo Nordisk A/S,DKK,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
IBM US Equity,International Business Machine,USD,Technology,Technology Services,IT Services,IT Services - Commercial
CVX US Equity,Chevron Corp,USD,Energy,"Oil, Gas & Coal",Integrated Oils,#N/A N/A
005930 KS Equity,Samsung Electronics Co Ltd,KRW,Technology,Hardware,Communications Equipment,Mobile Phones
CMCSA US Equity,Comcast Corp,USD,Communications,Media,Cable & Satellite,#N/A N/A
INTC US Equity,Intel Corp,USD,Technology,Semiconductors,Semiconductor Devices,"Logic, Processors & App Specific"
PEP US Equity,PepsiCo Inc,USD,Consumer Staples,Consumer Products,Beverages,Non-Alcoholic Beverages
CSCO US Equity,Cisco Systems Inc,USD,Technology,Hardware,Communications Equipment,Data Networking Equipment
SAN FP Equity,Sanofi,EUR,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
PM US Equity,Philip Morris International In,USD,Consumer Staples,Consumer Products,Tobacco,Tobacco Products
ULVR LN Equity,Unilever PLC,GBp,Consumer Staples,Consumer Products,Household Products,#N/A N/A
UNA NA Equity,Unilever NV,EUR,Consumer Staples,Consumer Products,Household Products,#N/A N/A
AGN US Equity,Allergan PLC,USD,Health Care,Biotech & Pharma,Specialty Pharma,#N/A N/A
AMGN US Equity,Amgen Inc,USD,Health Care,Biotech & Pharma,Biotech,Mature Biotechnology
UNH US Equity,UnitedHealth Group Inc,USD,Health Care,Health Care Facilities & Svcs,Managed Care,#N/A N/A
CVS US Equity,CVS Health Corp,USD,Consumer Staples,Retail - Consumer Staples,Food & Drug Stores,Pharmacies & Drug Stores
2628 HK Equity,China Life Insurance Co Ltd,HKD,Financials,Insurance,Life Insurance,Life Insurance Premiums
BAYN GR Equity,Bayer AG,EUR,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
FP FP Equity,TOTAL SA,EUR,Energy,"Oil, Gas & Coal",Integrated Oils,#N/A N/A
MA US Equity,Mastercard Inc,USD,Financials,Specialty Finance,Consumer Finance,Credit & Debit
